41.84846,123.37976,1
41.84683,123.37379,2
41.84133,123.37733,3
41.83981,123.37316,4
41.83555,123.37643,5
41.83267,123.37432,6
41.83112,123.37321,7
41.82518,123.36929,8
41.81965,123.38784,9
41.82911,123.39443,10
41.82745,123.39444,11
41.82482,123.39827,12
41.82951,123.40613,13
41.83212,123.40595,14
41.83413,123.40618,15
41.83926,123.40572,16
41.84417,123.40865,17
41.83933,123.41148,18
41.83685,123.41404,19
41.82986,123.41365,20
41.83684,123.41406,21
41.83932,123.41149,22
41.83684,123.41404,23
41.83777,123.41862,24
41.84996,123.42128,25
41.84755,123.42151,26
41.84466,123.42144,27
41.83451,123.41888,28
41.83466,123.42199,29
41.83235,123.42295,30
41.82886,123.42411,31
41.82915,123.43105,32
41.82332,123.43207,33
41.82637,123.44369,34
41.82812,123.44576,35
41.83136,123.44721,36
41.83311,123.46091,37
41.83895,123.45661,38
41.83907,123.45568,39
