21.141037,110.28325,1湖光岩和諧
21.141334,110.27787,2湖光岩佛心
21.143023,110.27172,3开拓
21.145312,110.28924,4湖光岩?紫荊苑
21.146186,110.27164,5湖光岩?碰碰龍
21.147803,110.29172,6Scenic Stone
21.148066,110.29821,7广东海洋大学
21.150582,110.28809,8湖光岩石狮右
21.152082,110.27565,9湖光岩第四紀斷層
21.152866,110.29447,10第二综合楼
21.153338,110.29763,11Guangdong Oce
21.15446,110.282635,12湖光岩珥瑪湖畔
21.178646,110.33926,13云山胜意
21.184056,110.39491,14江獅
21.184441,110.39710,15泰汇广场中国邮政
21.185191,110.39690,16工行雄狮
21.185866,110.40497,17建设南方大港
21.189992,110.38490,18南站共振器
21.190269,110.38357,19湛江火车站
21.190464,110.40425,20天桥
21.196769,110.40174,21霞山市府大楼
21.197315,110.40250,22音符
21.19756,110.40963,23维多尔天主教堂
21.200418,110.41267,24帆船女
21.205451,110.39929,25中国邮政人南路
21.209607,110.39763,26小猫咪
21.210473,110.41601,27红树林碑
21.212985,110.41689,28水仙灯
21.219062,110.42047,29钟
21.219385,110.41499,30魔方
21.223213,110.41964,31灯塔
21.23063,110.389419,32TheBinarBuilding 
21.233969,110.38755,33EnlightenGreen 
21.252756,110.38424,34三帆
21.254496,110.38482,35花之恋
21.255725,110.38296,36吴川飘色
21.259974,110.46394,37南国热带花园
21.261198,110.376161,38健身园地
21.262152,110.38191,39丽晶艺术方块一号
21.263551,110.3866,40御海湾集装箱
21.263898,110.3438,42彩虹喷泉
21.26737,110.38915,43瑞云湖碑
21.26761,110.36274,44奥运女神雕像
21.268891,110.3624,45KaideSquare
21.269491,110.3905,46幸福的娃
21.270165,110.3443,47双重铁壳方块
21.270281,110.3583,48烈士碑文
21.270645,110.3406,49跃进路灯一号
21.271445,110.3436,50木莲园
21.271555,110.34116,51岭南师范学院图书
21.273014,110.3505,52岭师体育训练馆
21.276487,110.3731,53中式壶杯
21.277244,110.3503,54Ngo GiaTuStatue
21.277391,110.34739,55小红人爱拳击
21.277986,110.3337,56岭南师范学院
21.278793,110.3580,57大亭子
21.279152,110.3311,58广州湾商会会址
21.286824,110.3312,59沙墩村
